# German tech employers, DAX engineering centres, and Berlin/Munich scaleups.
# Curated for board discovery. Turned into board-registry rows by:
#   pnpm jobhunt:import-boards --employers-path docs/strategy/data/de-tech-employers.csv --market DE
name,sector
SAP,enterprise-software
Zalando,e-commerce-fashion
Delivery Hero,food-delivery
HelloFresh,meal-kits
N26,fintech-neobank
Trade Republic,fintech-brokerage
Celonis,process-mining
Personio,hr-saas
Flix,mobility-travel
FlixBus,mobility-travel
Tier Mobility,micro-mobility
Auto1 Group,automotive-platform
Solaris,banking-as-a-service
Enpal,greentech-solar
DeepL,ai-translation
Wefox,insurtech
Raisin,fintech-wealth
Taxfix,fintech-tax
Grover,subscription-electronics
Pitch,presentation-software
Contentful,headless-cms
Omio,travel-booking
Tourlane,travel-tech
Forto,freight-forwarding
Sennder,digital-road-freight
Choco,food-supply-tech
Scout24,real-estate-platform
TeamViewer,remote-connectivity
Siemens,industrial-tech
Infineon,semiconductors
Bosch,automotive-iot
Continental,automotive-tech
Cariad,automotive-software
BMW Group,automotive-engineering
Mercedes-Benz Group,automotive-engineering
Volkswagen Group,automotive-engineering
Porsche Digital,automotive-digital
Helsing,ai-defense
Aleph Alpha,generative-ai
Lilium,aviation-tech
Volocopter,aviation-tech
Agile Robots,robotics-ai
BRYTER,no-code-automation
CoachHub,edtech-coaching
Staffbase,employee-communications
LeanIX,enterprise-architecture
Spryker,commerce-os
commercetools,headless-commerce
Adjust,mobile-attribution
Babbel,edtech-languages
Blinkist,micro-learning
Jimdo,website-builder
Trivago,travel-search
Sono Motors,solar-mobility
Tier,micro-mobility
Remerge,app-retargeting
Solarisbank,banking-infrastructure
Moss,fintech-spend
Spendesk Germany,fintech-spend
Moonfare,fintech-private-equity
Scalable Capital,fintech-wealth
Clark,insurtech
Getsafe,insurtech
Friday,insurtech
Kreditech,fintech-lending
Smava,fintech-loans
Auxmoney,fintech-lending
Billpay,fintech-payments
Ratepay,fintech-payments
Payone,fintech-payments
SumUp,fintech-pos
Wirecard,legacy-fintech
Klarna Germany,fintech-bnpl
Finleap,fintech-ecosystem
Mambu,banking-saas
Hypoport,fintech-credit
Europace,fintech-platform
Finanzcheck,fintech-portal
Interhyp,mortgage-broker
Check24,comparison-portal
Verivox,comparison-portal
Idealo,price-comparison
Mydealz,deal-community
Home24,furniture-ecommerce
Westwing,home-living-ecommerce
Wayfair Germany,furniture-ecommerce
About You,fashion-tech
Momox,recommerce
Rebuy,recommerce
Kaufland e-commerce,marketplace
Otto Group,e-commerce
Zalando Tech,fashion-tech
Rocket Internet,tech-incubator
Project A Ventures,venture-capital
Earlybird,venture-capital
Cherry Ventures,venture-capital
HV Capital,venture-capital
Lakestar,venture-capital
Target Global,venture-capital
Kinnevik Germany,investment
Atlantic Labs,venture-studio
Founders Fund Germany,venture-capital
Techstars Berlin,accelerator
Plug and Play Germany,accelerator
Merantix,ai-venture-studio
appliedAI,ai-initiative
DFKI,ai-research
Max Planck Institute,scientific-research
Fraunhofer,applied-research
Helmholtz,research-centres
DLR,aerospace-research
ESMT Berlin,business-school
WHU,business-school
TU Munich,technical-university
TU Berlin,technical-university
RWTH Aachen,technical-university
KIT,technical-university
TU Dresden,technical-university
TU Darmstadt,technical-university
University of Stuttgart,technical-university
University of Freiburg,technical-university
Heidelberg University,university-tech
LMU Munich,university-tech
Hasso Plattner Institute,digital-engineering
Code University,tech-education
42 Heilbronn,tech-education
42 Wolfsburg,tech-education
42 Berlin,tech-education
Ironhack Germany,bootcamp
Le Wagon Germany,bootcamp
WBS Coding School,bootcamp
Constructor University,tech-education
IU International University,edtech
IU Group,edtech
Brainly Germany,edtech
Kiron,edtech-social
CareerFoundry,edtech
Lingoda,language-learning
Speexx,corporate-learning
GoStudent Germany,edtech-tutoring
Simpleclub,edtech-school
Sofatutor,edtech-learning
StudySmarter,edtech-learning
Vaia,edtech-learning
Unirep,edtech-legal
Jurafuchs,edtech-legal
Alasco,construction-saas
Capmo,construction-software
PlanRadar Germany,construction-tech
Kairntech,ai-nlp
Cortical.io,ai-nlp
Eyeo,ad-filtering
Adblock Plus,privacy-tech
Cliqz,search-privacy
Nextcloud,open-source-cloud
ownCloud,cloud-storage
Hetzner,cloud-infrastructure
IONOS,web-hosting
Strato,cloud-hosting
1&1,telecom-tech
United Internet,internet-provider
Deutsche Telekom,telecom-operator
Telefónica Germany,telecom-operator
Vodafone Germany,telecom-operator
1&1 Versatel,telecom-infrastructure
EnBW,energy-digital
E.ON,energy-tech
RWE,renewable-energy
Uniper,energy-trading
Vattenfall Germany,energy-services
SMA Solar,solar-inverters
Kostal,solar-electronics
Fronius Germany,solar-energy
Viessmann,climate-solutions
Vaillant,heating-tech
Bosch Thermotechnology,climate-tech
Stiebel Eltron,heat-pumps
Wolf,heating-ventilation
Kermi,heating-technology
Zehnder,clean-air-solutions
Wilo,pump-systems
Kärcher,cleaning-technology
Festool,power-tools
Hilti Germany,construction-tools
Wurth,assembly-fastening
Stihl,outdoor-power
Wera Tools,hand-tools
Knipex,pliers-tools
Hazet,automotive-tools
Gedore,hand-tools
Wiha,hand-tools
Wago,electrical-interconnection
Phoenix Contact,automation-components
Weidmuller,industrial-connectivity
